source,target,conflict,relation,start,end
Lithuania,Sweden,Northern Seven Years' War  ,-,1563,1570
Lithuania,Sweden,Polish–Swedish War (1600–11)  ,-,1600,1611
Lithuania,Sweden,Polish–Swedish War (1617–18)  ,-,1617,1618
Lithuania,Sweden,Polish–Swedish War (1621–25)  ,-,1621,1625
Lithuania,Sweden,Dano-Swedish War (1658–60)Part of the Second Northern War  ,-,1658,1660
Lithuania,Sweden,War on Terror  ,+,2001,Ongoing  
Lithuania,Sweden,Taliban insurgency Part of the War in Afghanistan (2001–2014)  War in Afghanistan (1978–present)  War in Afghanistan (2015–present) and War on Terrorism  ,+,2002,Ongoing  
Lithuania,Russia,Polish–Muscovite War (1605–18)  ,-,1605,1618
Lithuania,Russia,Smolensk War  ,-,1632,1634
Lithuania,Russia,Russo-Polish War (1654–67)  ,-,1654,1667
Lithuania,Russia,Second Northern War  ,-,1655,1660
Lithuania,Russia,Great Turkish War  ,+,1683,1699
Lithuania,Russia,Great Northern War  part of the Dano-Swedish wars and the Russo–Swedish Wars  ,-,1700,1721
Lithuania,Russia,Polish–Russian War of 1792  ,-,1792,1792
Lithuania,Russia,Kościuszko Uprising  ,-,1794,1794
Lithuania,Russia,January Uprising  ,-,1863,1865
Lithuania,Russia,Lithuanian War of Independence (War against the Bermontians)Part of the Lithuanian Wars of Independence  ,-,1919,1919
Lithuania,Ottoman Empire,Polish–Ottoman War (1620–21)  ,-,1620,1621
Lithuania,Ottoman Empire,Polish–Ottoman War (1633–34)  ,-,1633,1634
Lithuania,Ottoman Empire,Polish–Cossack–Tatar War (1666–71)  ,-,1666,1671
Lithuania,Ottoman Empire,Polish–Ottoman War (1672–76)  ,-,1672,1676
Lithuania,Ottoman Empire,Great Turkish War  ,-,1683,1699
Lithuania,Ottoman Empire,Polish–Ottoman War (1683–99)Part of the Great Turkish War  ,-,1683,1699
Lithuania,Ottoman Empire,Russo-Turkish War (1686–1700)  ,-,1686,1700
Lithuania,Ottoman Empire,Great Northern War  part of the Dano-Swedish wars and the Russo–Swedish Wars  ,-,1700,1721
Lithuania,Ottoman Empire,Russian Civil War  ,-,1917,1922
Lithuania,Denmark,Second Northern War  ,-,1655,1660
Lithuania,Denmark,Great Northern War  part of the Dano-Swedish wars and the Russo–Swedish Wars  ,-,1700,1721
Lithuania,Denmark,War on Terror  ,+,2001,Ongoing  
Lithuania,Denmark,Taliban insurgency Part of the War in Afghanistan (2001–2014)  War in Afghanistan (1978–present)  War in Afghanistan (2015–present) and War on Terrorism  ,+,2002,Ongoing  
Lithuania,Hungary,Great Turkish War  ,+,1683,1699
Lithuania,Hungary,War on Terror  ,+,2001,Ongoing  
